states,tags,notes,date,time
Hawaii,"travel and tourism,tourism site","Hawaii Tourism Authority, Travel and Tourism Site for Hawaii ",2/10/15,14:00
North Carolina,"department of agriculture,north carolina department,carolina department","Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services ",6/28/13,16:56
,"department of agriculture,nc department","Got To Be NC Festival, a production of the NC Department of Agriculture ",8/2/13,15:48
Hawaii,department of education,Hawaii State Department of Education ,6/6/13,18:08
New Mexico,historical society,Historical Society of New Mexico ,7/16/14,5:16
Idaho,national guard,Idaho Army National Guard ,1/23/14,14:03
New York,"travel and tourism,tourism site",Travel and Tourism Site for New York ,6/6/13,19:12
North Carolina,,"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. ",11/20/13,19:54
,"economic development authority,development authority,economic development",Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. ,6/7/13,17:59
Iowa,"economic development authority,development authority,economic development",Iowa Economic Development Authority ,11/21/13,15:05
Iowa,national guard,Iowa National Guard ,1/23/14,14:03
North Carolina,public health,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. ",11/21/13,20:33
North Carolina,state of north,Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities ,9/22/15,17:00
Kentucky,national guard,Kentucky National Guard ,1/23/14,14:03
Kentucky,"travel and tourism,tourism site",Travel and Tourism Site for Kentucky ,6/6/13,19:38
Kansas,state board,Kansas State Board of Healing Arts ,7/9/14,4:38
Kansas,state board,Kansas State Board of Nursing ,7/9/14,4:39
Kansas,department of transportation,Kansas Department of Transportation ,3/20/14,15:35
Kansas,historical society,Kansas Historical Society ,7/9/14,4:41
Kentucky,department of agriculture,Kentucky Department of Agriculture ,7/5/13,17:39
,board of examiners,LA Board of Examiners of Nursing Facility Administrators ,9/22/15,20:03
Louisiana,"louisiana state board,state board",Louisiana State Board of Social Work Examiners ,8/24/15,14:41
Louisiana,"louisiana state board,state board", Louisiana State Board of Chiropractic Examiners ,8/24/15,14:42
Louisiana,board of examiners,Louisiana Board of Examiners of Certified Shorthand Reporters ,9/23/15,12:16
Louisiana,department of agriculture,"Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  ",9/23/15,14:53
Louisiana,"louisiana state board,state board",Louisiana State Board of Architectural Examiners ,1/14/14,14:13
Louisiana,board of examiners,Louisiana Board of Examiners in Dietetics and Nutrition  ,8/24/15,14:48
Virgin Islands,,Legislature of the Virgin Islands ,8/18/14,14:07
South Carolina,carolina department,"South Carolina Department of Labor, Licensing and Regulation ",1/17/14,15:50
Louisiana,development authority,Louisiana Community Development Authority ,9/23/15,12:18
Louisiana,"travel and tourism,tourism site",Travel and Tourism Site for Louisiana ,6/6/13,19:40
,board of examiners,Licensed Professional Counselors Board of Examiners ,8/24/15,14:53
,board of examiners,LLPVRC Board of Examiners ,8/24/15,14:54
Louisiana,"board of examiners,louisiana state board,state board",Louisiana State Board of Examiners of Psychologists   ,8/24/15,14:55
Louisiana,"board of examiners,louisiana state board,state board",Louisiana State Board of Examiners for Sanitarians ,9/23/15,16:47
Louisiana,"board of examiners,louisiana state board,state board",Louisiana State Board of Examiners of Interior Designers ,9/23/15,16:48
Louisiana,"louisiana state board,state board",Louisiana State Board of Private Investigator Examiners ,8/24/15,14:55
Louisiana,"louisiana state board,state board",LOUISIANA STATE BOARD OF PRACTICAL NURSE EXAMINERS ,8/24/15,14:56
,historical society,Mass historical society ,8/26/15,16:12
Massachusetts,"travel and tourism,tourism site",Travel and Tourism Site for Massachusetts ,6/6/13,19:40
Maryland,department of transportation,"Maryland 511 Traveller Information, Maryland Department of Transportation ",1/26/15,12:49
Michigan,"travel and tourism,tourism site",Travel and Tourism Site for Michigan ,6/6/13,19:41
Michigan,national guard,Michigan National Guard ,1/23/14,14:03
Minnesota,national guard,Minnesota National Guard URL must have 'www' to resolve  ,4/26/15,5:37
Mississippi,development authority,Mississippi Development Authority ,7/25/14,12:42
Missouri,national guard,Missouri National Guard ,1/23/14,14:03
Mississippi,state board,Mississippi State Board of Contractors ,7/25/14,12:48
Mississippi,state university extension,Mississippi State University Extension ,7/25/14,12:52
Michigan,state university extension,Michigan State University Extension ,11/19/13,13:43
Montana,state university extension,Montana State University Extension ,11/22/13,13:44
Montana,department of commerce,"Montana Facility Finance Authority, MT Department of Commerce ",11/22/13,13:46
Montana,department of commerce,"Montana Finance Information Center, MT Department of Commerce ",11/22/13,13:55
,"travel and tourism,tourism site",Travel and Tourism Site for the Northern Mariana Islands ,6/6/13,19:42
Virgin Islands,,"National Archives and Records Management Unit, Government of the Virgin Islands ",8/18/14,14:03
North Carolina,,North Carolina Education Lottery ,6/12/13,14:18
North Carolina,,North Carolina Alcoholic Beverage Control Commission ,9/11/15,20:30
North Carolina,"department of agriculture,north carolina department,carolina department","Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services ",7/26/13,15:42
North Carolina,,North Carolina Division of Air Quality ,3/20/14,15:16
North Carolina,,The North Carolina Auctioneers board ,9/11/15,20:32
North Carolina,,North Carolina Arts Council ,11/20/13,12:24
,"health and human,department of health,nc department,department of education,human services","NC Assistive technology Program - Receives grant funding under Public Law 108-364  through the Rehabilitation Services Administration, U.S. Department of Education, and is administered by the N.C. Department of Health and Human Services, Division of Vocational Rehabilitation Services ",11/12/15,15:02
North Carolina,north carolina board,North Carolina Board of Architecture ,9/11/15,20:37
North Carolina,north carolina board,North Carolina Board of Dietetics/Nutrition   ,9/11/15,20:38
,board of examiners,NC Board of Examiners of electrical contractors ,9/11/15,20:39
,board of examiners,NC Board of Examiners for engineers and surveyors ,9/11/15,20:40
North Carolina,north carolina board,The North Carolina Board for the Licensing of Geologists  ,9/14/15,20:27
North Carolina,north carolina board,The North Carolina Board of Licensed Professional Counselors ,9/14/15,20:28
North Carolina,,The North Carolina Soil Scientist Licensing Program ,9/14/15,20:28
,board of examiners,NC Board of Examiners for Speech Language and Pathologist & Audiologist n  ,9/14/15,20:30
North Carolina,north carolina board,The North Carolina Board of Occupational Therapy ,9/14/15,20:32
North Carolina,state of north,The Board of Podiatry Examiners for the State of North Carolina  ,9/14/15,20:32
North Carolina,"department of transportation,north carolina department,carolina department","Rail Division, North Carolina Department of Transportation ",7/24/13,16:07
North Carolina,,North Carolina Social Work Certification and Licensure Board ,9/22/15,14:10
North Carolina,,"The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. ",9/14/15,20:47
North Carolina,north carolina board,North Carolina Board of Chiropractic Examiners ,9/14/15,20:37
North Carolina,"north carolina department,carolina department,department of cultural","North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources ",11/12/15,14:54
North Carolina,north carolina office,North Carolina Office of the Commissioner of Banks (NCCOB) ,11/19/13,18:51
North Carolina,"department of commerce,north carolina department,carolina department",North Carolina Department of Commerce ,7/24/13,16:42
,nc department,N.C. Department of Environment and Natural Resources ,7/24/13,16:27
North Carolina,state board,North Carolina State Board of Dental Examiners ,9/14/15,20:40
North Carolina,,"This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. ",9/14/15,20:41
North Carolina,,"The NC Helping Neighbors Fund is managed by the Governor's Office, in partnership with United Way of North Carolina. Donations are tax deductible; 100% of donated funds will go to the states impacted by Hurricane Sandy. ",9/14/15,20:48
,"department of public,nc department"," Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  ",9/15/15,16:00
North Carolina,"north carolina department,carolina department",North Carolina Department of Insurance ,11/19/13,20:06
North Carolina,,North Carolina Drought Management Advisory Council ,11/12/15,14:05
North Carolina,north carolina office,The North Carolina Office of EMS ,9/15/15,16:07
North Carolina,,The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. ,9/15/15,16:34
North Carolina,,"North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. ",9/15/15,16:34
North Carolina,"department of agriculture,north carolina department,carolina department","NC Farm to School program, North Carolina Department of Agriculture and Consumer Services ",6/12/13,18:34
North Carolina,,"North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health ",11/12/15,13:44
North Carolina,,"North Carolina Forest Action Plan, North Carolina Forest Service ",11/12/15,13:40
North Carolina,,North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  ,11/12/15,13:39
North Carolina,state of north,State of North Carolina ,1/14/14,13:05
North Carolina,"nc department,department of public","Governor's School of North Carolina, NC Department of Public Instruction ",6/12/13,18:35
North Carolina,,The North Carolina Global TransPark ,9/15/15,16:39
,human services,NC Health & Human Services ,9/15/15,16:39
North Carolina,,North Carolina Home Inspetor Licensure Board ,11/20/13,12:38
North Carolina,,The North Carolina Interpreters & Transliterators Licensing Board ,9/15/15,16:45
