states,tags,notes,date,time
Virginia,development authority,Virginia Housing Development Authority ,7/11/14,19:10
Virginia,"department of agriculture,virginia department,economic development",The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. ,7/11/14,19:12
Virgin Islands,department of education,Virgin Islands Department of Education ,8/18/14,14:08
Virgin Islands,,Office of the Virgin Islands Inspector General ,8/18/14,14:13
Virgin Islands,,U.S. Virgin Islands Police Department ,8/18/14,14:16
Virginia,travel and tourism,Travel and Tourism Sites for Virginia ,6/6/13,19:11
Virginia,economic development,Virginia Economic Development Partnership's Ally Information Exchange ,7/11/14,20:17
Virginia,"department of transportation,virginia department",Virginia Department of Transportation ,7/11/14,20:18
California,"travel and tourism,tourism site",Travel and Tourism Site for California ,8/27/13,12:59
Delaware,travel and tourism,Travel and Tourism Sites for Delaware ,6/6/13,19:11
Florida,"travel and tourism,tourism site",Travel and Tourism Site for Florida ,6/6/13,19:15
,travel and tourism,Travel and Tourism Sites for Guam ,6/6/13,19:11
Idaho,"travel and tourism,tourism site",Travel and Tourism Site for Idaho ,6/6/13,19:48
Maine,travel and tourism,Travel and Tourism Sites for Maine ,6/6/13,19:11
Maryland,"travel and tourism,tourism site",Travel and Tourism Site for Maryland ,6/6/13,19:17
Mississippi,travel and tourism,Travel and Tourism Sites for Mississippi ,6/6/13,19:11
Missouri,"travel and tourism,tourism site",Travel and Tourism Site for Missouri ,6/6/13,19:34
Montana,"travel and tourism,tourism site",Travel and Tourism Site for Montana ,6/6/13,19:33
North Carolina,"travel and tourism,tourism site",Travel and Tourism Site for North Carolina ,6/6/13,19:33
Nebraska,"travel and tourism,tourism site",Travel and Tourism Site for Nebraska ,6/6/13,19:33
Pennsylvania,"travel and tourism,tourism site",Travel and Tourism Site for Pennsylvania ,6/6/13,19:32
Rhode Island,"travel and tourism,tourism site",Travel and Tourism Site for Rhode Island ,6/6/13,19:32
Virgin Islands,"travel and tourism,tourism site",Travel and tourism site for the US Virgin Islands ,6/6/13,19:47
Utah,"travel and tourism,tourism site",Travel and Tourism Site for Utah ,6/6/13,19:31
Virgin Islands,,Supreme Court of the United States Virgin Islands ,8/18/14,14:06
North Carolina,,North Carolina Commission on Volunteerism and Community Service ,11/10/15,20:34
Vermont,national guard,Vermont National Guard ,1/23/14,14:03
Washington,washington state,Washington State Lottery ,12/2/14,7:23
Washington,washington state,Washington State Seed Potato Commission ,11/12/14,6:26
,"travel and tourism,tourism site",Travel and Tourism Site for the District of Columbia ,6/6/13,19:31
Washington,national guard,Washington Air National Guard ,1/3/14,13:08
Washington,national guard,Washington Army National Guard ,1/23/14,14:03
Washington,national guard,Washington National Guard ,1/23/14,14:03
Washington,washington state,Washington State Wine Commission ,11/12/14,6:23
North Carolina,north carolina office,"The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. ",8/13/14,17:41
Rhode Island,cooperative extension,University of Rhode Island Cooperative Extension ,6/7/13,18:31
Washington,economic development,Washington Economic Development Finance Authority ,11/12/14,6:21
,public health,"Women's Health Branch, NC Division of Public Health ",7/26/13,15:11
Wisconsin,"economic development authority,development authority,economic development",Wisconsin Housing and Economic Development Authority ,8/11/14,5:30
Virgin Islands,,Virgin Islands Lottery ,6/12/13,14:29
Wisconsin,historical society,Wisconsin Historical Society ,8/11/14,5:26
,"health and human,human services","NC Dept of Health and Human services, division of State operated healthcare facilities ",9/14/15,20:51
Washington,washington state,Washington State Convention Center ,11/6/14,7:30
Washington,washington state,Washington State Commission on Pesticide Registration ,11/6/14,7:32
Washington,washington state,Washington State Housing Finance Commission ,11/6/14,7:27
Washington,washington state,Washington State School for the Blind ,7/31/13,16:31
West Virginia,"department of agriculture,virginia department",West Virginia Department of Agriculture ,3/31/14,13:07
West Virginia,"department of commerce,virginia department",West Virginia Department of Commerce ,3/24/14,16:50
West Virginia,,West Virginia Division of Culture and History ,3/31/14,13:08
West Virginia,"department of health,health and human,virginia department",West Virginia Department of Health and Human Resources ,7/24/14,5:50
West Virginia,,West Virginia Housing Development Fund ,7/24/14,5:51
West Virginia,,West Virginia Higher Education Policy Commission ,3/31/14,13:12
West Virginia,"department of commerce,virginia department","West Virginia Department of Commerce, Division of Labor ",7/24/14,5:52
West Virginia,,West Virginia Lottery ,6/12/13,14:29
West Virginia,,West Virginia Network for Educational Telecomputing ,7/24/14,5:54
West Virginia,,West Virginia Consolidated Public Retirement Board ,3/31/14,13:33
West Virginia,,West Virginia State Parks ,3/31/14,13:34
West Virginia,,West Virginia State Treasurer's Office ,3/31/14,13:35
West Virginia,"travel and tourism,tourism site",Travel and Tourism Site for West Virginia ,6/6/13,19:18
West Virginia,development authority,West Virginia Water Development Authority ,7/24/14,5:57
Montana,national guard,Montana Army National Guard ,3/2/15,6:52
Wyoming,"travel and tourism,tourism site",Travel and Tourism Site for Wyoming ,6/6/13,19:31
Virginia,economic development,"Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  ",11/20/13,18:52
